#SampleID	name1	name2	Sediment_type	Weather	Temperature	Temperature_range	Month	Season	Depth	Tide_level	Des
mud01.2020.11.S1	mud01.2020.11.S1	mud01.2020.11.S	mudflat	Cloudy_day	18	16_20	11_Nov	Autumn	1_5cm	Low_tide_level	16s
mud01.2020.11.S2	mud01.2020.11.S2	mud01.2020.11.S	mudflat	Cloudy_day	18	16_20	11_Nov	Autumn	1_5cm	Low_tide_level	16s
mud01.2020.11.S3	mud01.2020.11.S3	mud01.2020.11.S	mudflat	Cloudy_day	18	16_20	11_Nov	Autumn	1_5cm	Low_tide_level	16s
mud02.2020.12.S1	mud02.2020.12.S1	mud02.2020.12.S	mudflat	Cloudy_day	14	11_15	12_Dec	Winter	1_5cm	Low_tide_level	16s
mud02.2020.12.S2	mud02.2020.12.S2	mud02.2020.12.S	mudflat	Cloudy_day	14	11_15	12_Dec	Winter	1_5cm	Low_tide_level	16s
mud02.2020.12.S3	mud02.2020.12.S3	mud02.2020.12.S	mudflat	Cloudy_day	14	11_15	12_Dec	Winter	1_5cm	Low_tide_level	16s
mud03.2021.01.S1	mud03.2021.01.S1	mud03.2021.01.S	mudflat	Cloudy_day	7	6_10	01_Jan	Winter	1_5cm	Low_tide_level	16s
mud03.2021.01.S2	mud03.2021.01.S2	mud03.2021.01.S	mudflat	Cloudy_day	7	6_10	01_Jan	Winter	1_5cm	Low_tide_level	16s
mud03.2021.01.S3	mud03.2021.01.S3	mud03.2021.01.S	mudflat	Cloudy_day	7	6_10	01_Jan	Winter	1_5cm	Low_tide_level	16s
mud04.2021.02.S1	mud04.2021.02.S1	mud04.2021.02.S	mudflat	Rainy_day	10	6_10	02_Feb	Winter	1_5cm	Low_tide_level	16s
mud04.2021.02.S2	mud04.2021.02.S2	mud04.2021.02.S	mudflat	Rainy_day	10	6_10	02_Feb	Winter	1_5cm	Low_tide_level	16s
mud04.2021.02.S3	mud04.2021.02.S3	mud04.2021.02.S	mudflat	Rainy_day	10	6_10	02_Feb	Winter	1_5cm	Low_tide_level	16s
mud05.2021.03.S1	mud05.2021.03.S1	mud05.2021.03.S	mudflat	Cloudy_day	17	16_20	03_Mar	Spring	1_5cm	Low_tide_level	16s
mud05.2021.03.S2	mud05.2021.03.S2	mud05.2021.03.S	mudflat	Cloudy_day	17	16_20	03_Mar	Spring	1_5cm	Low_tide_level	16s
mud05.2021.03.S3	mud05.2021.03.S3	mud05.2021.03.S	mudflat	Cloudy_day	17	16_20	03_Mar	Spring	1_5cm	Low_tide_level	16s
mud06.2021.04.S1	mud06.2021.04.S1	mud06.2021.04.S	mudflat	Cloudy_day	20	16_20	04_Apr	Spring	1_5cm	Low_tide_level	16s
mud06.2021.04.S2	mud06.2021.04.S2	mud06.2021.04.S	mudflat	Cloudy_day	20	16_20	04_Apr	Spring	1_5cm	Low_tide_level	16s
mud06.2021.04.S3	mud06.2021.04.S3	mud06.2021.04.S	mudflat	Cloudy_day	20	16_20	04_Apr	Spring	1_5cm	Low_tide_level	16s
mud07.2021.05.S1	mud07.2021.05.S1	mud07.2021.05.S	mudflat	Cloudy_day	21	21_25	05_May	Spring	1_5cm	Low_tide_level	16s
mud07.2021.05.S2	mud07.2021.05.S2	mud07.2021.05.S	mudflat	Cloudy_day	21	21_25	05_May	Spring	1_5cm	Low_tide_level	16s
mud07.2021.05.S3	mud07.2021.05.S3	mud07.2021.05.S	mudflat	Cloudy_day	21	21_25	05_May	Spring	1_5cm	Low_tide_level	16s
