SampleID	Salinity	pH	Redox_potential	Dissolved_oxygen	Temperature	AP	SM	NH4+_N	NO3-_N	TN	TC	TOC	Clay	Silt	Fine_sand	Medium_sand	Coarse_sand
mud01.2020.11.S1	17.96 	8.05 	122.90 	8.26 	18.80 	15.69	19.23641703	3.986945455	0.575754545	0.044	0.63	0.351160041	9.1	16.96	21.7	29.77	22.47
mud01.2020.11.S2	17.96 	8.05 	122.90 	8.26 	18.80 	15.69	19.23641703	3.986945455	0.575754545	0.044	0.63	0.351160041	9.1	16.96	21.7	29.77	22.47
mud01.2020.11.S3	17.96 	8.05 	122.90 	8.26 	18.80 	15.69	19.23641703	3.986945455	0.575754545	0.044	0.63	0.351160041	9.1	16.96	21.7	29.77	22.47
mud01.2020.11.X1	7.33 	8.32 	116.40 	7.46 	18.20 	12.72	22.12692967	9.643898678	0.590704846	0.058	0.894	0.533954674	18.52	36.28	11.67	12.29	21.2
mud01.2020.11.X2	7.33 	8.32 	116.40 	7.46 	18.20 	12.72	22.12692967	9.643898678	0.590704846	0.058	0.894	0.533954674	18.52	36.28	11.67	12.29	21.2
mud01.2020.11.X3	7.33 	8.32 	116.40 	7.46 	18.20 	12.72	22.12692967	9.643898678	0.590704846	0.058	0.894	0.533954674	18.52	36.28	11.67	12.29	21.2
mud01.2020.11.Z1	15.24 	8.19 	131.80 	7.66 	19.00 	11.45	18.15823606	4.038280507	0.629263074	0.051	0.69	0.418705664	12.65	24.69	17.3	25.77	19.59
mud01.2020.11.Z2	15.24 	8.19 	131.80 	7.66 	19.00 	11.45	18.15823606	4.038280507	0.629263074	0.051	0.69	0.418705664	12.65	24.69	17.3	25.77	19.59
mud01.2020.11.Z3	15.24 	8.19 	131.80 	7.66 	19.00 	11.45	18.15823606	4.038280507	0.629263074	0.051	0.69	0.418705664	12.65	24.69	17.3	25.77	19.59
mud02.2020.12.S1	16.65 	7.71 	-8.8	7.38 	15.90 	13.42	21.32998745	3.896020734	0.565653907	0.048	1.617	1.42241349	11.41	28.05	22.84	22.76	14.94
mud02.2020.12.S2	16.57 	7.71 	-55.3	7.70 	16.00 	13.42	21.32998745	3.896020734	0.565653907	0.048	1.617	1.42241349	11.41	28.05	22.84	22.76	14.94
mud02.2020.12.S3	16.52 	7.72 	-66.8	7.46 	16.10 	13.42	21.32998745	3.896020734	0.565653907	0.048	1.617	1.42241349	11.41	28.05	22.84	22.76	14.94
mud02.2020.12.X1	14.44 	7.99 	74.4	6.48 	14.90 	20.29	25.17780939	9.616131179	0.374220532	0.046	0.856	0.470266525	21.21	41.22	15.22	13.75	8.6
mud02.2020.12.X2	14.47 	7.98 	34.1	6.74 	15.00 	20.29	25.17780939	9.616131179	0.374220532	0.046	0.856	0.470266525	21.21	41.22	15.22	13.75	8.6
