SampleID	Salinity	pH	Redox_potential	Dissolved_oxygen	Temperature	AP	SM	NH4+_N	NO3-_N	TN	TC	TOC	Clay	Silt	Fine_sand	Medium_sand	Coarse_sand
mud01.2020.11.X1	7.33	8.32	116.4	7.46	18.2	12.72	22.12692967	9.643898678	0.590704846	0.058	0.894	0.533954674	18.52	36.28	11.67	12.29	21.2
mud01.2020.11.X2	7.33	8.32	116.4	7.46	18.2	12.72	22.12692967	9.643898678	0.590704846	0.058	0.894	0.533954674	18.52	36.28	11.67	12.29	21.2
mud01.2020.11.X3	7.33	8.32	116.4	7.46	18.2	12.72	22.12692967	9.643898678	0.590704846	0.058	0.894	0.533954674	18.52	36.28	11.67	12.29	21.2
mud02.2020.12.X1	14.44	7.99	74.4	6.48	14.9	20.29	25.17780939	9.616131179	0.374220532	0.046	0.856	0.470266525	21.21	41.22	15.22	13.75	8.6
mud02.2020.12.X2	14.47	7.98	34.1	6.74	15	20.29	25.17780939	9.616131179	0.374220532	0.046	0.856	0.470266525	21.21	41.22	15.22	13.75	8.6
mud02.2020.12.X3	14.47	7.97	10.2	7.02	15.1	20.29	25.17780939	9.616131179	0.374220532	0.046	0.856	0.470266525	21.21	41.22	15.22	13.75	8.6
mud03.2021.01.X1	16.29	8.07	84.4	10.56	11	19.33	26.30241423	8.331344828	0.583465517	0.066	1.793	0.848189236	18.26	36.09	12.73	13.12	19.46
mud03.2021.01.X2	16.17	8.09	82.1	10.21	11	19.33	26.30241423	8.331344828	0.583465517	0.066	1.793	0.848189236	18.26	36.09	12.73	13.12	19.46
mud03.2021.01.X3	16.21	8.06	80.4	10.09	11	19.33	26.30241423	8.331344828	0.583465517	0.066	1.793	0.848189236	18.26	36.09	12.73	13.12	19.46
mud04.2021.02.X1	14.48	8.39	131.2	5.5	13.3	19.96	21.875	9.3632	0.448	0.063	1.292	0.946049321	20.82	43.43	13.98	10.71	11.06
mud04.2021.02.X2	14.48	8.39	131.2	5.23	13.3	19.96	21.875	9.3632	0.448	0.063	1.292	0.946049321	20.82	43.43	13.98	10.71	11.06
mud04.2021.02.X3	14.48	8.39	131.2	5.5	13.3	19.96	21.875	9.3632	0.448	0.063	1.292	0.946049321	20.82	43.43	13.98	10.71	11.06
mud05.2021.03.X1	17.25	8.12	90.6	5.9	20.2	18.74	27.72988506	9.166998012	0.74027833	0.05	1.173	0.916976063	21.91	41.46	10.04	7.91	18.26
mud05.2021.03.X2	17.25	8.12	90.6	5.9	20.2	18.74	27.72988506	9.166998012	0.74027833	0.05	1.173	0.916976063	21.91	41.46	10.04	7.91	18.26
mud05.2021.03.X3	17.25	8.12	90.6	5.9	20.2	18.74	27.72988506	9.166998012	0.74027833	0.05	1.173	0.916976063	21.91	41.46	10.04	7.91	18.26
mud06.2021.04.X1	20.59	8.13	50.6	5.95	26.1	20.22	25.29960053	8.734893048	0.73627451	0.047	1.24	0.699897459	22.95	50.21	10.44	8.02	8.37
mud06.2021.04.X2	20.59	8.13	50.6	5.95	26.1	20.22	25.29960053	8.734893048	0.73627451	0.047	1.24	0.699897459	22.95	50.21	10.44	8.02	8.37
mud06.2021.04.X3	20.59	8.13	50.6	5.95	26.1	20.22	25.29960053	8.734893048	0.73627451	0.047	1.24	0.699897459	22.95	50.21	10.44	8.02	8.37
mud07.2021.05.X1	13.95	8.72	206.7	6.71	25.6	16.67	22.73249139	10.47011887	0.511210996	0.042	0.988	0.609452872	21.17	44.44	16.18	11.04	7.17
mud07.2021.05.X2	13.95	8.72	206.7	6.71	25.6	16.67	22.73249139	10.47011887	0.511210996	0.042	0.988	0.609452872	21.17	44.44	16.18	11.04	7.17
mud07.2021.05.X3	13.95	8.72	206.7	6.71	25.6	16.67	22.73249139	10.47011887	0.511210996	0.042	0.988	0.609452872	21.17	44.44	16.18	11.04	7.17
mud08.2021.06.X1	20.52	7.83	198.2	6.19	24.6	27.64	36.67883212	21.6989049	0.576426513	0.082	1.483	0.874865416	31.48	62.55	4.03	1.69	0.25
mud08.2021.06.X2	20.52	7.83	198.2	6.19	24.6	27.64	36.67883212	21.6989049	0.576426513	0.082	1.483	0.874865416	31.48	62.55	4.03	1.69	0.25
mud08.2021.06.X3	20.52	7.83	198.2	6.19	24.6	27.64	36.67883212	21.6989049	0.576426513	0.082	1.483	0.874865416	31.48	62.55	4.03	1.69	0.25
mud09.2021.07.X1	19.85	7.91	116.8	5.89	30.8	20.49	23.35600907	11.61213018	0.169615385	0.101	1.018	0.668583192	26.39	51.59	9.45	8.2	4.37
mud09.2021.07.X2	19.85	7.91	116.8	5.89	30.8	20.49	23.35600907	11.61213018	0.169615385	0.101	1.018	0.668583192	26.39	51.59	9.45	8.2	4.37
mud09.2021.07.X3	19.85	7.91	116.8	5.89	30.8	20.49	23.35600907	11.61213018	0.169615385	0.101	1.018	0.668583192	26.39	51.59	9.45	8.2	4.37
mud10.2021.08.X1	21.09	7.93	123.7	5.76	32.4	18.82	27.91612058	10.70280909	0.360690909	0.121	1.665	1.135504123	25.16	49.1	7.37	6.94	11.4
mud10.2021.08.X2	21.09	7.93	123.7	5.76	32.4	18.82	27.91612058	10.70280909	0.360690909	0.121	1.665	1.135504123	25.16	49.1	7.37	6.94	11.4
mud10.2021.08.X3	21.09	7.93	123.7	5.76	32.4	18.82	27.91612058	10.70280909	0.360690909	0.121	1.665	1.135504123	25.16	49.1	7.37	6.94	11.4
mud11.2021.09.X1	18.47	8.04	179	7.15	26.4	15.95	26.13784135	8.908485915	0.548318662	0.069	1.055	0.647669601	20.58	43.28	13.12	11.85	11.17
mud11.2021.09.X2	18.47	8.04	179	7.15	26.4	15.95	26.13784135	8.908485915	0.548318662	0.069	1.055	0.647669601	20.58	43.28	13.12	11.85	11.17
mud11.2021.09.X3	18.47	8.04	179	7.15	26.4	15.95	26.13784135	8.908485915	0.548318662	0.069	1.055	0.647669601	20.58	43.28	13.12	11.85	11.17
mud12.2021.10.X1	22.1	8.19	165.3	4.62	26.3	26.33	35.9430605	15.29888889	0.601027778	0.079	1.363	0.815930455	32.6	57.01	4.16	3.96	2.27
mud12.2021.10.X2	22.1	8.19	165.3	4.62	26.3	26.33	35.9430605	15.29888889	0.601027778	0.079	1.363	0.815930455	32.6	57.01	4.16	3.96	2.27
mud12.2021.10.X3	22.1	8.19	165.3	4.62	26.3	26.33	35.9430605	15.29888889	0.601027778	0.079	1.363	0.815930455	32.6	57.01	4.16	3.96	2.27
