	mud01.2020.11.X1	mud01.2020.11.X2	mud01.2020.11.X3	mud02.2020.12.X1	mud02.2020.12.X2	mud02.2020.12.X3	mud03.2021.01.X1	mud03.2021.01.X2	mud03.2021.01.X3	mud04.2021.02.X1	mud04.2021.02.X2	mud04.2021.02.X3	mud05.2021.03.X1	mud05.2021.03.X2	mud05.2021.03.X3	mud06.2021.04.X1	mud06.2021.04.X2	mud06.2021.04.X3	mud07.2021.05.X1	mud07.2021.05.X2	mud07.2021.05.X3	mud08.2021.06.X1	mud08.2021.06.X2	mud08.2021.06.X3	mud09.2021.07.X1	mud09.2021.07.X2	mud09.2021.07.X3	mud10.2021.08.X1	mud10.2021.08.X2	mud10.2021.08.X3	mud11.2021.09.X1	mud11.2021.09.X2	mud11.2021.09.X3	mud12.2021.10.X1	mud12.2021.10.X2	mud12.2021.10.X3	mud13.2021.11.X1	mud13.2021.11.X2	mud13.2021.11.X3	mud14.2021.12.X1	mud14.2021.12.X2	mud14.2021.12.X3	mud15.2022.01.X1	mud15.2022.01.X2	mud15.2022.01.X3	mud16.2022.02.X1	mud16.2022.02.X2	mud16.2022.02.X3	mud17.2022.03.X1	mud17.2022.03.X2	mud17.2022.03.X3	mud18.2022.04.X1	mud18.2022.04.X2	mud18.2022.04.X3	mud19.2022.05.X1	mud19.2022.05.X2	mud19.2022.05.X3	mud20.2022.06.X1	mud20.2022.06.X2	mud20.2022.06.X3	mud21.2022.07.X1	mud21.2022.07.X2	mud21.2022.07.X3	mud22.2022.08.X1	mud22.2022.08.X2	mud22.2022.08.X3	mud23.2022.09.X1	mud23.2022.09.X2	mud23.2022.09.X3	mud24.2022.10.X1	mud24.2022.10.X2	mud24.2022.10.X3
ce86b13da74f42f8a993df6a410207f6	0	0	0	0	4	0	4	0	0	0	0	0	13	8	0	8	6	0	13	8	9	36	38	35	11	16	19	14	15	12	27	20	14	0	0	0	6	7	0	0	6	0	0	0	0	0	0	5	8	5	4	36	49	41	28	35	19	12	42	18	7	9	18	4	2	4	15	7	6	0	10	0
bf053fdc9bbcfbdefd1ee4efa7fdcc30	0	0	0	8	2	2	3	0	9	10	10	13	12	13	8	9	3	8	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	13	17	11	13	8	0	2	3	6	0	13	19	10	12	6	6	0	4	3	4	0	0	4	2	0	0	0	0	1	2	17	11	8	0	3	4	0	4	0
ae3fab4b6cd1dfc3bedf39108cca954e	0	0	0	8	0	0	19	22	0	33	31	31	6	16	16	0	10	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	35	28	26	50	26	35	30	13	16	24	27	24	0	14	16	10	0	0	0	11	0	0	6	0	0	0	0	0	0	0	26	24	21	0	0	0	0	0	0
80a73782353d76bcbed6c59e42be767f	3	3	0	0	6	6	9	22	17	8	29	27	6	0	5	38	30	33	18	13	19	2	0	0	0	0	0	0	1	4	4	0	8	28	28	21	26	35	23	17	8	17	30	26	20	14	20	11	6	7	0	0	12	6	0	0	0	0	0	0	0	0	0	0	15	0	0	5	0	0	4	0
5b137ffa2288db640274d867eb59d4c1	0	0	0	0	0	3	0	17	12	17	27	21	0	10	0	13	15	15	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	12	16	14	17	28	29	5	10	19	18	15	15	13	18	12	3	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	1	0
2f1a23135cc4be9ac1d525c73bc5ff88	6	10	6	0	2	0	6	0	0	5	0	0	0	0	1	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	9	0	0	9	4	0	0	16	10	21	3	2	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4c060a7f2d8dde8d940c6fcdeb041043	0	10	15	14	0	0	18	9	0	25	27	36	17	31	13	33	28	16	0	6	0	0	0	5	12	4	10	0	9	4	0	0	8	34	56	37	24	35	25	35	39	43	55	43	49	21	30	34	7	15	16	0	17	0	0	14	15	0	0	0	0	5	0	34	35	36	4	0	6	3	11	8
367d51ce0123e566549947086a640aa1	0	2	7	2	6	4	5	0	12	6	0	0	8	7	15	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	9	11	5	0	5	7	15	6	19	16	18	0	0	9	0	11	4	0	4	5	0	1	3	0	0	0	3	0	4	10	5	4	3	1	0	0	0	3
38a29925fb149b7aa6fdc3eef108fa89	0	0	1	0	0	3	0	7	8	0	4	13	0	6	10	7	7	9	0	5	0	0	0	0	0	0	0	0	2	6	3	0	0	12	0	14	0	0	11	5	11	10	9	0	19	7	4	3	1	0	3	0	2	7	0	0	3	0	0	0	0	0	0	18	4	4	0	3	0	0	0	3
7269d09b3dab62a0b772127a3e3992a8	26	25	21	9	2	0	22	61	39	52	121	66	14	24	6	37	18	16	6	10	11	0	0	0	0	0	0	0	0	2	5	10	11	33	22	14	19	15	16	27	20	25	23	27	19	39	33	19	7	0	0	0	15	14	3	4	2	0	0	0	0	1	1	7	0	0	13	12	6	4	3	0
c0c1202c42ec0bb97c3519b230cd9ed8	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	12	7	8	9	11	10	8	14	17	23	17	21	18	24	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	3	3	4	2	14	16	18	0	0	3	38	37	38	0	0	0
9e611df1e0d2dc05557a15a167b2e8af	9	6	8	5	9	6	7	8	10	31	12	23	9	8	7	54	34	27	6	3	4	0	0	0	0	0	0	0	5	0	0	0	0	16	15	22	23	28	22	10	13	9	28	25	14	16	17	21	10	6	6	0	9	8	0	0	2	0	3	0	0	0	0	9	0	0	0	4	0	0	0	0
1f5f5d5ea4c1d18930843d072bad1053	14	22	32	6	5	5	0	0	8	0	13	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	11	0	0	0	0	0	8	0	10	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
c7952cc4e657ef3344fe649d23322c3d	3	0	0	11	10	14	16	16	29	21	26	45	11	9	12	3	24	28	0	18	26	0	2	0	0	0	3	0	0	1	4	0	13	16	18	27	26	20	26	6	13	18	14	18	19	36	18	23	0	0	0	15	2	4	0	10	6	0	0	0	0	2	0	7	5	13	0	3	5	0	0	0
218e3ce596dd0e315947db0b7b15e64a	29	44	39	56	54	68	84	52	70	83	71	72	112	109	90	52	45	48	21	17	9	15	15	15	15	10	22	8	21	11	9	19	20	179	229	194	109	151	115	109	129	118	141	189	133	105	116	108	29	26	28	33	44	43	25	24	29	8	14	9	24	12	18	105	113	109	27	26	13	12	20	17
320aef0856ae448ac998d1783aa3eeb0	12	15	0	4	2	7	17	16	16	22	26	19	0	9	5	10	12	9	0	0	6	0	0	0	0	0	0	0	0	0	5	0	0	9	17	15	0	9	0	11	18	18	10	11	0	7	10	7	0	0	0	0	8	5	0	4	0	0	1	0	0	1	0	0	8	4	0	2	0	0	0	0
3b1062c9af9341cfb93d472dbe58c137	96	63	86	93	84	92	147	95	131	233	154	175	73	71	74	171	141	124	40	44	38	14	7	0	22	20	11	16	12	13	26	27	19	198	192	144	155	182	204	113	84	103	186	149	126	127	132	127	15	21	14	20	25	26	13	17	9	6	10	8	11	5	3	107	94	52	12	22	8	6	8	11
