SampleID	name1	name2	Sediment_type	Weather	Temperature	Temperature_range	Month	Season	Depth	Tide_level	Des	Type_Tide_Depth
mud01.2020.11.S1	mud01.2020.11.S1	mud01.2020.11.S	mudflat	Cloudy_day	18	16-20	11_Nov	Autumn	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud01.2020.11.S2	mud01.2020.11.S2	mud01.2020.11.S	mudflat	Cloudy_day	18	16-20	11_Nov	Autumn	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud01.2020.11.S3	mud01.2020.11.S3	mud01.2020.11.S	mudflat	Cloudy_day	18	16-20	11_Nov	Autumn	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud01.2020.11.X1	mud01.2020.11.X1	mud01.2020.11.X	mudflat	Cloudy_day	18	16-20	11_Nov	Autumn	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud01.2020.11.X2	mud01.2020.11.X2	mud01.2020.11.X	mudflat	Cloudy_day	18	16-20	11_Nov	Autumn	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud01.2020.11.X3	mud01.2020.11.X3	mud01.2020.11.X	mudflat	Cloudy_day	18	16-20	11_Nov	Autumn	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud01.2020.11.Z1	mud01.2020.11.Z1	mud01.2020.11.Z	mudflat	Cloudy_day	18	16-20	11_Nov	Autumn	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud01.2020.11.Z2	mud01.2020.11.Z2	mud01.2020.11.Z	mudflat	Cloudy_day	18	16-20	11_Nov	Autumn	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud01.2020.11.Z3	mud01.2020.11.Z3	mud01.2020.11.Z	mudflat	Cloudy_day	18	16-20	11_Nov	Autumn	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud02.2020.12.S1	mud02.2020.12.S1	mud02.2020.12.S	mudflat	Cloudy_day	14	11-15	12_Dec	Winter	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud02.2020.12.S2	mud02.2020.12.S2	mud02.2020.12.S	mudflat	Cloudy_day	14	11-15	12_Dec	Winter	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud02.2020.12.S3	mud02.2020.12.S3	mud02.2020.12.S	mudflat	Cloudy_day	14	11-15	12_Dec	Winter	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud02.2020.12.X1	mud02.2020.12.X1	mud02.2020.12.X	mudflat	Cloudy_day	14	11-15	12_Dec	Winter	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud02.2020.12.X2	mud02.2020.12.X2	mud02.2020.12.X	mudflat	Cloudy_day	14	11-15	12_Dec	Winter	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud02.2020.12.X3	mud02.2020.12.X3	mud02.2020.12.X	mudflat	Cloudy_day	14	11-15	12_Dec	Winter	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud02.2020.12.Z1	mud02.2020.12.Z1	mud02.2020.12.Z	mudflat	Cloudy_day	14	11-15	12_Dec	Winter	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud02.2020.12.Z2	mud02.2020.12.Z2	mud02.2020.12.Z	mudflat	Cloudy_day	14	11-15	12_Dec	Winter	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud02.2020.12.Z3	mud02.2020.12.Z3	mud02.2020.12.Z	mudflat	Cloudy_day	14	11-15	12_Dec	Winter	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud03.2021.01.S1	mud03.2021.01.S1	mud03.2021.01.S	mudflat	Cloudy_day	7	6-10	01_Jan	Winter	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud03.2021.01.S2	mud03.2021.01.S2	mud03.2021.01.S	mudflat	Cloudy_day	7	6-10	01_Jan	Winter	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud03.2021.01.S3	mud03.2021.01.S3	mud03.2021.01.S	mudflat	Cloudy_day	7	6-10	01_Jan	Winter	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud03.2021.01.X1	mud03.2021.01.X1	mud03.2021.01.X	mudflat	Cloudy_day	7	6-10	01_Jan	Winter	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud03.2021.01.X2	mud03.2021.01.X2	mud03.2021.01.X	mudflat	Cloudy_day	7	6-10	01_Jan	Winter	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud03.2021.01.X3	mud03.2021.01.X3	mud03.2021.01.X	mudflat	Cloudy_day	7	6-10	01_Jan	Winter	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud03.2021.01.Z1	mud03.2021.01.Z1	mud03.2021.01.Z	mudflat	Cloudy_day	7	6-10	01_Jan	Winter	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud03.2021.01.Z2	mud03.2021.01.Z2	mud03.2021.01.Z	mudflat	Cloudy_day	7	6-10	01_Jan	Winter	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud03.2021.01.Z3	mud03.2021.01.Z3	mud03.2021.01.Z	mudflat	Cloudy_day	7	6-10	01_Jan	Winter	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud04.2021.02.S1	mud04.2021.02.S1	mud04.2021.02.S	mudflat	Rainy_day	10	6-10	02_Feb	Winter	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud04.2021.02.S2	mud04.2021.02.S2	mud04.2021.02.S	mudflat	Rainy_day	10	6-10	02_Feb	Winter	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud04.2021.02.S3	mud04.2021.02.S3	mud04.2021.02.S	mudflat	Rainy_day	10	6-10	02_Feb	Winter	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud04.2021.02.X1	mud04.2021.02.X1	mud04.2021.02.X	mudflat	Rainy_day	10	6-10	02_Feb	Winter	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud04.2021.02.X2	mud04.2021.02.X2	mud04.2021.02.X	mudflat	Rainy_day	10	6-10	02_Feb	Winter	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud04.2021.02.X3	mud04.2021.02.X3	mud04.2021.02.X	mudflat	Rainy_day	10	6-10	02_Feb	Winter	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud04.2021.02.Z1	mud04.2021.02.Z1	mud04.2021.02.Z	mudflat	Rainy_day	10	6-10	02_Feb	Winter	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud04.2021.02.Z2	mud04.2021.02.Z2	mud04.2021.02.Z	mudflat	Rainy_day	10	6-10	02_Feb	Winter	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud04.2021.02.Z3	mud04.2021.02.Z3	mud04.2021.02.Z	mudflat	Rainy_day	10	6-10	02_Feb	Winter	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud05.2021.03.S1	mud05.2021.03.S1	mud05.2021.03.S	mudflat	Cloudy_day	17	16-20	03_Mar	Spring	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud05.2021.03.S2	mud05.2021.03.S2	mud05.2021.03.S	mudflat	Cloudy_day	17	16-20	03_Mar	Spring	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud05.2021.03.S3	mud05.2021.03.S3	mud05.2021.03.S	mudflat	Cloudy_day	17	16-20	03_Mar	Spring	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud05.2021.03.X1	mud05.2021.03.X1	mud05.2021.03.X	mudflat	Cloudy_day	17	16-20	03_Mar	Spring	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud05.2021.03.X2	mud05.2021.03.X2	mud05.2021.03.X	mudflat	Cloudy_day	17	16-20	03_Mar	Spring	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud05.2021.03.X3	mud05.2021.03.X3	mud05.2021.03.X	mudflat	Cloudy_day	17	16-20	03_Mar	Spring	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud05.2021.03.Z1	mud05.2021.03.Z1	mud05.2021.03.Z	mudflat	Cloudy_day	17	16-20	03_Mar	Spring	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud05.2021.03.Z2	mud05.2021.03.Z2	mud05.2021.03.Z	mudflat	Cloudy_day	17	16-20	03_Mar	Spring	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud05.2021.03.Z3	mud05.2021.03.Z3	mud05.2021.03.Z	mudflat	Cloudy_day	17	16-20	03_Mar	Spring	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud06.2021.04.S1	mud06.2021.04.S1	mud06.2021.04.S	mudflat	Cloudy_day	20	16-20	04_Apr	Spring	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud06.2021.04.S2	mud06.2021.04.S2	mud06.2021.04.S	mudflat	Cloudy_day	20	16-20	04_Apr	Spring	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud06.2021.04.S3	mud06.2021.04.S3	mud06.2021.04.S	mudflat	Cloudy_day	20	16-20	04_Apr	Spring	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud06.2021.04.X1	mud06.2021.04.X1	mud06.2021.04.X	mudflat	Cloudy_day	20	16-20	04_Apr	Spring	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud06.2021.04.X2	mud06.2021.04.X2	mud06.2021.04.X	mudflat	Cloudy_day	20	16-20	04_Apr	Spring	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud06.2021.04.X3	mud06.2021.04.X3	mud06.2021.04.X	mudflat	Cloudy_day	20	16-20	04_Apr	Spring	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud06.2021.04.Z1	mud06.2021.04.Z1	mud06.2021.04.Z	mudflat	Cloudy_day	20	16-20	04_Apr	Spring	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud06.2021.04.Z2	mud06.2021.04.Z2	mud06.2021.04.Z	mudflat	Cloudy_day	20	16-20	04_Apr	Spring	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud06.2021.04.Z3	mud06.2021.04.Z3	mud06.2021.04.Z	mudflat	Cloudy_day	20	16-20	04_Apr	Spring	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud07.2021.05.S1	mud07.2021.05.S1	mud07.2021.05.S	mudflat	Cloudy_day	21	21-25	05_May	Spring	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud07.2021.05.S2	mud07.2021.05.S2	mud07.2021.05.S	mudflat	Cloudy_day	21	21-25	05_May	Spring	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud07.2021.05.S3	mud07.2021.05.S3	mud07.2021.05.S	mudflat	Cloudy_day	21	21-25	05_May	Spring	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud07.2021.05.X1	mud07.2021.05.X1	mud07.2021.05.X	mudflat	Cloudy_day	21	21-25	05_May	Spring	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud07.2021.05.X2	mud07.2021.05.X2	mud07.2021.05.X	mudflat	Cloudy_day	21	21-25	05_May	Spring	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud07.2021.05.X3	mud07.2021.05.X3	mud07.2021.05.X	mudflat	Cloudy_day	21	21-25	05_May	Spring	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud07.2021.05.Z1	mud07.2021.05.Z1	mud07.2021.05.Z	mudflat	Cloudy_day	21	21-25	05_May	Spring	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud07.2021.05.Z2	mud07.2021.05.Z2	mud07.2021.05.Z	mudflat	Cloudy_day	21	21-25	05_May	Spring	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud07.2021.05.Z3	mud07.2021.05.Z3	mud07.2021.05.Z	mudflat	Cloudy_day	21	21-25	05_May	Spring	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud08.2021.06.S1	mud08.2021.06.S1	mud08.2021.06.S	mudflat	Sunny_day	32	31-35	06_Jun	Summer	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud08.2021.06.S2	mud08.2021.06.S2	mud08.2021.06.S	mudflat	Sunny_day	32	31-35	06_Jun	Summer	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud08.2021.06.S3	mud08.2021.06.S3	mud08.2021.06.S	mudflat	Sunny_day	32	31-35	06_Jun	Summer	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud08.2021.06.X1	mud08.2021.06.X1	mud08.2021.06.X	mudflat	Sunny_day	32	31-35	06_Jun	Summer	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud08.2021.06.X2	mud08.2021.06.X2	mud08.2021.06.X	mudflat	Sunny_day	32	31-35	06_Jun	Summer	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud08.2021.06.X3	mud08.2021.06.X3	mud08.2021.06.X	mudflat	Sunny_day	32	31-35	06_Jun	Summer	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud08.2021.06.Z1	mud08.2021.06.Z1	mud08.2021.06.Z	mudflat	Sunny_day	32	31-35	06_Jun	Summer	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
