SampleID	name1	name2	Sediment_type	Weather	Temperature	Temperature_range	Month	Season	Depth	Tide_level	Des	phase
mud01.2020.11.X1	mud01.2020.11.X1	mud01.2020.11.X	mudflat	Cloudy_day	18	16_20	11_Nov	Autumn	15_25cm	Low_tide_level	16s	Discovery
mud01.2020.11.X2	mud01.2020.11.X2	mud01.2020.11.X	mudflat	Cloudy_day	18	16_20	11_Nov	Autumn	15_25cm	Low_tide_level	16s	Discovery
mud01.2020.11.X3	mud01.2020.11.X3	mud01.2020.11.X	mudflat	Cloudy_day	18	16_20	11_Nov	Autumn	15_25cm	Low_tide_level	16s	Discovery
mud02.2020.12.X1	mud02.2020.12.X1	mud02.2020.12.X	mudflat	Cloudy_day	14	11_15	12_Dec	Winter	15_25cm	Low_tide_level	16s	Discovery
mud02.2020.12.X2	mud02.2020.12.X2	mud02.2020.12.X	mudflat	Cloudy_day	14	11_15	12_Dec	Winter	15_25cm	Low_tide_level	16s	Discovery
mud02.2020.12.X3	mud02.2020.12.X3	mud02.2020.12.X	mudflat	Cloudy_day	14	11_15	12_Dec	Winter	15_25cm	Low_tide_level	16s	Discovery
mud03.2021.01.X1	mud03.2021.01.X1	mud03.2021.01.X	mudflat	Cloudy_day	7	6_10	01_Jan	Winter	15_25cm	Low_tide_level	16s	Discovery
mud03.2021.01.X2	mud03.2021.01.X2	mud03.2021.01.X	mudflat	Cloudy_day	7	6_10	01_Jan	Winter	15_25cm	Low_tide_level	16s	Discovery
mud03.2021.01.X3	mud03.2021.01.X3	mud03.2021.01.X	mudflat	Cloudy_day	7	6_10	01_Jan	Winter	15_25cm	Low_tide_level	16s	Discovery
mud04.2021.02.X1	mud04.2021.02.X1	mud04.2021.02.X	mudflat	Rainy_day	10	6_10	02_Feb	Winter	15_25cm	Low_tide_level	16s	Discovery
mud04.2021.02.X2	mud04.2021.02.X2	mud04.2021.02.X	mudflat	Rainy_day	10	6_10	02_Feb	Winter	15_25cm	Low_tide_level	16s	Discovery
mud04.2021.02.X3	mud04.2021.02.X3	mud04.2021.02.X	mudflat	Rainy_day	10	6_10	02_Feb	Winter	15_25cm	Low_tide_level	16s	Discovery
mud05.2021.03.X1	mud05.2021.03.X1	mud05.2021.03.X	mudflat	Cloudy_day	17	16_20	03_Mar	Spring	15_25cm	Low_tide_level	16s	Discovery
mud05.2021.03.X2	mud05.2021.03.X2	mud05.2021.03.X	mudflat	Cloudy_day	17	16_20	03_Mar	Spring	15_25cm	Low_tide_level	16s	Discovery
mud05.2021.03.X3	mud05.2021.03.X3	mud05.2021.03.X	mudflat	Cloudy_day	17	16_20	03_Mar	Spring	15_25cm	Low_tide_level	16s	Discovery
mud06.2021.04.X1	mud06.2021.04.X1	mud06.2021.04.X	mudflat	Cloudy_day	20	16_20	04_Apr	Spring	15_25cm	Low_tide_level	16s	Discovery
mud06.2021.04.X2	mud06.2021.04.X2	mud06.2021.04.X	mudflat	Cloudy_day	20	16_20	04_Apr	Spring	15_25cm	Low_tide_level	16s	Discovery
mud06.2021.04.X3	mud06.2021.04.X3	mud06.2021.04.X	mudflat	Cloudy_day	20	16_20	04_Apr	Spring	15_25cm	Low_tide_level	16s	Discovery
mud07.2021.05.X1	mud07.2021.05.X1	mud07.2021.05.X	mudflat	Cloudy_day	21	21_25	05_May	Spring	15_25cm	Low_tide_level	16s	Discovery
mud07.2021.05.X2	mud07.2021.05.X2	mud07.2021.05.X	mudflat	Cloudy_day	21	21_25	05_May	Spring	15_25cm	Low_tide_level	16s	Discovery
mud07.2021.05.X3	mud07.2021.05.X3	mud07.2021.05.X	mudflat	Cloudy_day	21	21_25	05_May	Spring	15_25cm	Low_tide_level	16s	Discovery
mud08.2021.06.X1	mud08.2021.06.X1	mud08.2021.06.X	mudflat	Sunny_day	32	31_35	06_Jun	Summer	15_25cm	Low_tide_level	16s	Discovery
mud08.2021.06.X2	mud08.2021.06.X2	mud08.2021.06.X	mudflat	Sunny_day	32	31_35	06_Jun	Summer	15_25cm	Low_tide_level	16s	Discovery
mud08.2021.06.X3	mud08.2021.06.X3	mud08.2021.06.X	mudflat	Sunny_day	32	31_35	06_Jun	Summer	15_25cm	Low_tide_level	16s	Discovery
mud09.2021.07.X1	mud09.2021.07.X1	mud09.2021.07.X	mudflat	Cloudy_day	29	26_30	07_Jul	Summer	15_25cm	Low_tide_level	16s	Discovery
mud09.2021.07.X2	mud09.2021.07.X2	mud09.2021.07.X	mudflat	Cloudy_day	29	26_30	07_Jul	Summer	15_25cm	Low_tide_level	16s	Discovery
